year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,216,Gopalganj,GOPALGANJ2,240680,197263,81.96,7643,3.87,186574,94.58,,,,,,,,,,,3046,MOHAJOTE
2008,217,Gopalganj,GOPALGANJ3,188584,164340,87.14,4451,2.71,158958,96.73,,,,,,,,,221,0.13,710,MOHAJOTE
2008,218,Madaripur,MADARIPUR1,184717,156303,84.62,11419,7.31,119767,76.62,,,,,,,,,24829,15.89,288,MOHAJOTE
2008,219,Madaripur,MADARIPUR2,267338,217163,81.23,28594,13.17,179883,82.83,,,,,,,,,7496,3.45,1190,MOHAJOTE
2008,220,Madaripur,MADARIPUR3,224105,188555,84.14,48319,25.63,129638,68.75,,,,,,,,,10208,5.41,390,MOHAJOTE
2008,221,Shariatpur,SHARIATPUR1,216500,183850,84.92,6558,3.57,117386,63.85,,,,,,,,,59320,32.27,586,MOHAJOTE
2008,222,Shariatpur,SHARIATPUR2,225899,195936,86.74,80096,40.88,114808,58.59,,,,,,,,,,,1032,MOHAJOTE
2008,223,Shariatpur,SHARIATPUR3,180487,158713,87.94,52672,33.19,102925,64.85,,,,,,,,,2884,1.82,232,MOHAJOTE
2008,224,Sunamganj,SUNAMGANJ1,303055,267194,88.17,94458,35.35,155252,58.1,,,,,,,,,16716,6.26,768,MOHAJOTE
2008,225,Sunamganj,SUNAMGANJ2,194562,174242,89.56,77889,44.7,95593,54.86,,,,,,,,,,,760,MOHAJOTE
2008,226,Sunamganj,SUNAMGANJ3,224506,193450,86.17,56765,29.34,134559,69.56,,,,,,,,,1418,0.73,708,MOHAJOTE
2008,227,Sunamganj,SUNAMGANJ4,229716,198150,86.26,58964,29.76,123883,62.52,,,,,,,,,14625,7.38,678,MOHAJOTE
2008,228,Sunamganj,SUNAMGANJ5,286149,254591,88.97,85197,33.46,165697,65.08,,,,,,,,,2712,1.07,985,MOHAJOTE
